﻿"জন্মান্তর","ইমরান কায়েস","","TK. 300","TK. 225"
﻿"দ্য গ্রিন মাইল","স্টিফেন কিং","","TK. 450","TK. 338"
﻿"অবয়ব","তানজীম রহমান","","TK. 300","TK. 225"
﻿"আরিমাতানো","মাহবুব ময়ূখ রিশাদ","","TK. 240","TK. 180"
﻿"জেরানগাওয়ের বিভীষিকা","ইশতিয়াক হাসান","","TK. 108","TK. 81"
﻿"হারিয়ে যাবার শুরু","নীল হুরেজাহান","","TK. 300","TK. 225"
﻿"মদিনা","পারভেজ আলম","","TK. 700","TK. 525"
﻿"চাঁদের রংধনু","মঈনুস সুলতান","","TK. 200","TK. 150"
﻿"সাফাই সাক্ষী","জুয়েল দেব","","TK. 160","TK. 120"
﻿"নব যৌবন","ফরিদ উদ্দিন ","","TK. 262","TK. 197"
﻿"ইসলাম ও মুক্তচিন্তা","মাওলানা মুহাম্মাদ আফসারুদ্দীন","","TK. 170","TK. 128"
﻿"অনুভবের অনুভূতি তুমি","শাহেদ সোলাইমান","","TK. 200","TK. 150"
﻿"বঙ্গবন্ধুর জয়যাত্রা","মুনতাসীর মামুন","","TK. 350","TK. 263"
﻿"হৃদ কলমের আঁচড়","গৌরী প্রভা দাশ","","TK. 260","TK. 195"
﻿"৬০২ ম্যাডোর এভেন্যু","কানিজ ফাতেমা খুশী","","TK. 150","TK. 113"
﻿"পোপোল্ বু","মানবেন্দ্র বন্দ্যোপাধ্যায়","","TK. 150","TK. 113"
﻿"কোনো এক শ্রাবণে","ইশরাত মাহেরীন জয়া","","TK. 205","TK. 154"
﻿"এ গেম অব থ্রোনস - ২য় খণ্ড","জর্জ আর. আর. মার্টিন","","TK. 500","TK. 375"
﻿"চতুষ্কোণ","সিয়াম মেহরাফ","","TK. 135","TK. 101"
﻿"সময়","সাজেদা পারভীন সাজু ","","TK. 200","TK. 150"
﻿"শবযাত্রা","নাশমান শরীফ","","TK. 155","TK. 116"
﻿"তিমিরযাত্রা ","মোজাফফর হোসেন","","TK. 270","TK. 203"
﻿"মনে করো আর দেখা হবে না","ইকবাল খন্দকার","","TK. 180","TK. 126"
﻿"Father of The Nation His Life and Achievements","আল্লামা ইব্‌নে কাছীর রহ.","","","TK. 300"
﻿"জাদুঘর পাতা আছে এই এখানে","কিশোর পাশা ইমন","","TK. 500","TK. 375"
﻿"আদিম প্রবৃত্তি","আমের আহমেদ","","TK. 160","TK. 112"
﻿"সময়","হাসান তারেক চৌধুরী","","TK. 399","TK. 299"
﻿"কাফকা অন দ্য শোর","হারুকি মুরাকামি","","TK. 400","TK. 300"
﻿"জীবন্ত শহীদ : সোলাইমানী হত্যার নেপথ্য কাহিনী","প্রমিত হোসেন","","TK. 280","TK. 210"
﻿"দ্য মিরাকল মর্নিং","হ্যাল এলরড","","TK. 250","TK. 188"
﻿"ইয়ুথ প্রবলেম","শায়খ মুহাম্মাদ ইবন সালিহ আল উথাইমিন","","TK. 100","TK. 70"
﻿"মরুভূমির রাজা","আলী আহমাদ মাবরুর","","TK. 90","TK. 63"
﻿"মনোজবাবুদের বাড়ি","হরিশংকর জলদাস","","TK. 200","TK. 150"
﻿"নিষিদ্ধ গল্প","শহীদুল ইসলাম","","TK. 296","TK. 222"
﻿"সেফটিপিন","মেহেদী রিয়াদ","","TK. 160","TK. 120"
﻿"জানালার জোনাকিরা","অনন্যা মাহমুদ","","TK. 600","TK. 450"
﻿"দ্য বয় অ্যাট দি টপ অফ দি মাউন্টেইন","জন বয়েন","","TK. 220","TK. 154"
﻿"প্রেসিডেন্ট মুরসি: আরব বসন্ত থেকে শাহাদাত","ওয়াহিদ জামান","","TK. 180","TK. 135"
﻿"শতাব্দীর অগ্নিপুরুষ শেখ মুজিব","শাহজাহান আবদালী","","TK. 200","TK. 150"
﻿"Bongobondhupedia","মুনতাসীর মামুন","","","TK. 275"
﻿"দ্য লাস্ট মাইল","ডেভিড বালড্যাচি","","TK. 460","TK. 345"
﻿"সিগমা ফোর্স ক্রুসিবল","জেমস রোলিন্স","","TK. 520","TK. 312"
﻿"নিখোঁজ সংবাদ","নিলয় সুন্দরম","","TK. 210","TK. 158"
﻿"বাস্তি","ইনতেজার হুসেইন","","TK. 400","TK. 300"
﻿"দ্বিতীয় অধ্যায় ","আশিকা জামান","","TK. 375","TK. 281"
﻿"প্যাকেট নিয়ে পাগলামি","মোস্তফা মামুন","","TK. 200","TK. 150"
﻿"ডটার অব স্টোন ফরেস্ট","সেলিম সোলায়মান","","TK. 240","TK. 180"
﻿"হরবোলা","দিবাকর দাস","","TK. 240","TK. 168"
﻿"ঔপনিবেশিকতার ছায়ায় বাংলাদেশ","প্রশান্ত ত্রিপুরা","","TK. 450","TK. 338"
﻿"গৌড়ের ইতিহাস: হিন্দুরাজত্ব ও মুসলমান-রাজত্ব (অখণ্ড)","শ্রীরজনীকান্ত চক্রবর্ত্তী","","TK. 750","TK. 563"
﻿"দ্য প্রোডাক্টিভ মুসলিম","মোহাম্মদ ফারিস ","","TK. 320","TK. 240"
﻿"বাঙালির জাপান আবিষ্কার","মহিউদ্দীন আহ্‌মেদ","","TK. 200","TK. 150"
﻿"জবাইঘর","হাসান মাহবুব","","TK. 320","TK. 240"
﻿"অদ্বিতীয়া","মিশু মনি","","TK. 200","TK. 150"
﻿"ফাইনম্যান ডায়াগ্রাম","সাকিবুল ইসলাম","","TK. 180","TK. 135"
﻿"শ্রেষ্ঠ কবিতাসমগ্র","জীবনানন্দ দাশ","","TK. 300","TK. 150"
﻿"সেই দুটি চোখ","সমারসেট মম","","TK. 200","TK. 150"
﻿"হাতেকলমে বিজ্ঞান","সৌমিত্র চক্রবর্তী","","TK. 325","TK. 244"
﻿"বুবাই","ফারহানা আহমেদ","","TK. 200","TK. 150"
﻿"কাঙালের সংলাপ","তকিব তৌফিক","","TK. 150","TK. 113"
﻿"কারবালা ও হজরত ইমাম হোসাইন (আ.)-এর শাহাদাত","সাইয়েদ ইবনে তাউস","","TK. 250","TK. 188"
﻿"শিক্ওয়া জওয়াবে শিক্ওয়া","আল্লামা মুহাম্মদ ইকবাল","","TK. 300","TK. 225"
﻿"মোহভঙ্গ : দুনিয়াসক্তি কাটাবেন যেভাবে","ইবনু কুদামা মাকদিসি","","TK. 140","TK. 105"
﻿"প্রেমের কবিতা","সাইয়েদ জামিল ","","TK. 210","TK. 158"
﻿"বিবর্ণ পাহাড়","মঙ্গল কুমার চাকমা","","TK. 645","TK. 484"
﻿"ল্যাবিরিন্থ","কেট মস","","TK. 550","TK. 385"
﻿"চাঁদের পাহাড়","বিভূতিভূষণ বন্দ্যোপাধ্যায়","","TK. 150","TK. 113"
﻿"ইন্দ্রলিপি","মুশফিক উস সালেহীন","","TK. 460","TK. 322"
﻿"নরক নন্দিনী","নিশাত তাবাসসুম প্রাপ্তি","","TK. 200","TK. 150"
﻿"আমি কওমীওয়ালা","মুস্তাফিজ ইবনে আনির","","TK. 300","TK. 210"
﻿"দ্য আর্কিটেক্ট’স অ্যাপ্রেন্টিস","এলিফ শাফাক","","TK. 460","TK. 322"
﻿"রিযক","কায়সার আহমদ","","TK. 220","TK. 154"
﻿"ত্রিকোণমিতা","জয়নাল আবেদীন","","TK. 320","TK. 224"
﻿"স্ন্যাপশট","ব্রান্ডন স্যান্ডার্সন","","TK. 220","TK. 154"
﻿"স্মার্ট  হায়াতি","আহসানুল আজিম শাহ","","TK. 200","TK. 150"
﻿"মজার গণিত শেখা-১ (মানসাঙ্কসহ)","রেইনবো পাবলিকেশন্স","","TK. 110","TK. 83"
﻿"চিলিংহ্যাম দুর্গে আতঙ্ক","অরুণ কুমার বিশ্বাস","","TK. 375","TK. 281"
﻿"চন্দ্রলেখা","আবদুল্লাহ আল ইমরান","","TK. 470","TK. 353"
﻿"এক্সেকিউটিভ টু এক্সেকিউটিভ ডিরেক্টর","নজর-ই-জ্বিলানী","","TK. 400","TK. 300"
﻿"কালের সংক্ষিপ্ত ইতিহাস","স্টিফেন হকিং","","TK. 230","TK. 161"
﻿"প্রাকৃতিক বৈচিত্রে্যর লীলাভূমি: কানাডা","ডা. শুভাগত চৌধুরী","","TK. 225","TK. 169"
﻿"হৃদ মাঝারে রাখিব","আদনীন কুয়াশা ","","TK. 400","TK. 300"
﻿"মনের যত্ন","রাউফুন নাহার","","TK. 300","TK. 225"
﻿"চৈতালি বাতাসে","তাহমিনা সুলতানা তানি","","TK. 280","TK. 210"
